n Tanggal Aktual a b c d e f g
1 5/10/2009 9456 13850 -4394 4394 19308115 -46 46
2 12/10/2009 6580 10495 -3915 3915 15324093 -59 59
3 19/10/2009 5572 5338 234 234 54616 4 4
4 26/10/2009 8800 8324 476 476 226290 5 5
5 2/11/2009 4172 8595 -4423 4423 19562044 -106 106
6 09/11/2009 632 5753 -5121 5121 26227714 -810 810
7 16/11/2009 5744 3703 2041 2041 4164865 36 36
8 23/11/2009 7470 6180 1290 1290 1665132 17 17
9 7/12/2009 22424 5343 17082 17082 291777642 76 76
10 14/12/2009 8880 9756 -876 876 766850 -10 10
11 21/12/2009 7252 7466 -214 214 45625 -3 3
12 28/12/2009 10436 8008 2428 2428 5895184 23 23
13 4/01/2010 16976 14133 2843 2843 8081512 17 17
14 11/01/2010 10296 12604 -2308 2308 5326402 -22 22
15 18/01/2010 13792 9331 4462 4462 19904982 32 32
16 25/01/2010 14196 11616 2580 2580 6657432 18 18
17 1/02/2010 6396 14257 -7861 7861 61796893 -123 123
18 08/02/2010 11356 9546 1810 1810 3276100 16 16
19 15/02/2010 13968 11862 2106 2106 4434394 15 15
20 22/02/2010 13528 12964 564 564 317983 4 4
21 1/03/2010 6480 10367 -3887 3887 15104882 -60 60
22 08/03/2010 6984 9223 -2239 2239 5012673 -32 32
23 15/03/2010 9816 10183 -367 367 134616 -4 4
24 22/03/2010 10738
