,Series,Periode,Permintaan (unit)
0,1,04/07/2008,19210
1,2,04/14/2008,18650
2,3,04/21/2008,14309
3,4,04/28/2008,25226
4,5,05/5/2008,24377
5,6,05/12/2008,22039
6,7,05/19/2008,20562
7,8,05/26/2008,22309
8,9,06/2/2008,19523
9,10,06/09/2008,16139
10,11,06/16/2008,18633
11,12,06/23/2008,20519
12,13,07/7/2008,33976
13,14,07/14/2008,23521
14,15,07/21/2008,20433
15,16,07/28/2008,21665
16,17,08/04/2008,26543
17,18,08/11/2008,23260
18,19,08/18/2008,24652
19,20,08/25/2008,25283
20,21,09/01/2008,25480
21,22,09/8/2008,21742
22,23,09/15/2008,24040
23,24,09/22/2008,24352
24,25,10/06/2008,19442
25,26,10/13/2008,16751
26,27,10/20/2008,9396
27,28,10/27/2008,21504
28,29,11/03/2008,17756
29,30,11/10/2008,14780
30,31,11/17/2008,13672
31,32,11/24/2008,16800
32,33,12/01/2008,19747
33,34,12/8/2008,8432
34,35,12/15/2008,13444
35,36,12/22/2008,15070
36,37,01/05/2009,29924
37,38,01/12/2009,16280
38,39,01/19/2009,14552
39,40,01/26/2009,17636
40,41,02/02/2009,16260
41,42,02/09/2009,17296
42,43,02/16/2009,20692
43,44,02/23/2009,20996
44,45,03/2/2009,13096
45,46,03/09/2009,17956
46,47,03/16/2009,20468
47,48,03/23/2009,19928
48,49,04/06/2009,15927
49,50,04/13/2009,15843
50,51,04/20/2009,12455
51,52,04/27/2009,21312
52,53,05/4/2009,13536
53,54,05/11/2009,12525
54,55,05/18/2009,11508
55,56,05/25/2009,11757
56,57,06/1/2009,10537
57,58,06/08/2009,7780
58,59,06/15/2009,8795
59,60,06/22/2009,9432
60,61,07/06/2009,17629
61,62,07/13/2009,13736
62,63,07/20/2009,12806
63,64,07/27/2009,13103
64,65,08/03/2009,15266
65,66,08/10/2009,14770
66,67,08/17/2009,15464
67,68,08/24/2009,16065
68,69,09/7/2009,17462
69,70,09/14/2009,11972
70,71,09/21/2009,896
71,72,09/28/2009,13104
72,73,10/5/2009,9456
73,74,10/12/2009,6580
74,75,10/19/2009,5572
75,76,10/26/2009,8800
76,77,11/2/2009,4172
77,78,11/09/2009,632
78,79,11/16/2009,5744
79,80,11/23/2009,7470
80,81,12/7/2009,22424
81,82,12/14/2009,8880
82,83,12/21/2009,7252
83,84,12/28/2009,10436
84,85,01/4/2010,16976
85,86,01/11/2010,10296
86,87,01/18/2010,13792
87,88,01/25/2010,14196
88,89,02/1/2010,6396
89,90,02/08/2010,11356
90,91,02/15/2010,13968
91,92,02/22/2010,13528
92,93,03/1/2010,6480
93,94,03/08/2010,6984
94,95,03/15/2010,9816
95,96,03/22/2010,10738
